Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
2970 N Lake Shore Dr Unit 15E,CHI - Lake View,"$345,000",2,2,"1,200",$288,"$1,130/month",1957,Condo / Apartment
1560 N Sandburg Ter Unit 2603J,CHI - Near North Side,"$464,900",2,1,—,—,$766/month,1970,Condo / Apartment
10644 S Wallace St,CHI - Roseland,"$275,000",4,3,"1,546",$178,None,1926,Single Family Home
2205 W Highland Ave Unit 4N,CHI - West Ridge,"$158,000",2,1,"1,111",$142,$376/month,1956,Condo / Apartment
8051 S Yates Blvd,CHI - South Chicago,"$270,000",3,2,"1,696",$159,None,1951,Single Family Home
400 N La Salle Dr #3610,CHI - Near North Side,"$359,000",1,1,850,$422,$701/month,2001,Condo / Apartment
1715 W Ohio St Unit 2N,CHI - West Town,"$575,000",2,2,—,—,$580/month,1889,Condo / Apartment
3150 N Lake Shore Dr Unit 8E,CHI - Lake View,"$399,000",3,2,"1,650",$242,"$1,193/month",1963,Condo / Apartment
1322 S Wabash Ave Ph 6,CHI - Near South Side,"$660,000",2,2,"2,221",$297,$822/month,1903,Condo / Apartment
32 W 109th Pl,CHI - Roseland,"$169,000",3,2.5,"1,717",$98,None,1912,Single Family Home
655 W Irving Park Rd #2307,CHI - Lake View,"$169,900",1,1,600,$283,$647/month,1975,Condo / Apartment
3343 N Sheffield Ave,CHI - Lake View,"$1,149,900",8,4,—,—,None,1904,Single Family Home
3445 N Oakley Ave,CHI - North Center,"$875,000",6,4,—,—,None,1894,Single Family Home
4157 N Bernard St #2,Chicago,"$245,000",2,1,—,—,$243/month,1929,Condo / Apartment
530 N Paulina St,CHI - West Town,"$1,289,000",3,3.5,"2,586",$498,None,2000,Single Family Home
655 W Irving Park Rd #5306,CHI - Lake View,"$195,000",1,1,816,$239,$970/month,1973,Condo / Apartment
5900 S King Dr Unit C-3,CHI - Washington Park,"$235,000",3,2,"1,220",$193,$257/month,1900,Condo / Apartment
240 E Illinois St #2603,CHI - Near North Side,"$399,900",1,1,—,—,$745/month,2008,Condo / Apartment
5300 S Shore Dr #35,CHI - Hyde Park,"$215,000",3,2,"1,650",$130,"$1,366/month",1922,Condo / Apartment
